ID	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE
ESCC001N	0.0302420876563825	0.129113036223378	0.00377117370652117	0.0401388984941431	0	0.258491872659211	0	0	0	0	0	0.022434700916786	0.00268597024230904	0	0	0.13124289363918	0.0158518745849473	0.016039715656246	0	0.216992249452632	0	0.132995526768264	0.32	0.030288126422744	1.08510389869271
ESCC001T1	0.130692420241687	0	0.083931979869709	0.0273020917212668	0	0.282225445077678	0	0.047076278858441	0	0	0.0184214803559181	0.0405984438033479	0.0251696594159197	0.0124007405711766	0.00267027857235792	0.0271019075698643	0.000123962789051286	0.0517366588600302	0	0.220036284242185	0.00956833275644663	0.0209440352949208	0.01	0.246792795015951	0.995005980898641
ESCC001T2	0.00720559270880365	0	0.0755023679166681	0	0.0889846511654943	0.0485313524561241	0	0.00975551953397177	0	0	0.0102469626232129	0	0	0.0810803674166242	0	0.0720299657242049	0	0.0566308786065809	0	0.549916662216839	0	0.000115679631476046	0.0600000000000001	0.131804830564127	1.1397353436666
ESCC001T3	0.0499606230326466	0.04409551436495	0.0375737584002014	0	0.0104257433312547	0.0581373557869384	0	0.0452397227295205	0	0	0.0264794626106738	0	0	0.00431319828716229	0.0124269611423975	0.115328362483711	0	0.0926269207650087	0	0.431725254241897	0	0.0716671228236386	0.05	0.148328469073171	1.07915776474184
ESCC001T4	0.0153277173672321	0	0.0795792225197384	0	0.11308204505742	0.034605580570437	0	0	0	0	0.0475276666936241	0	0	0.244216062125486	0.0239360280239696	0.135931110649409	0	0.103300535850056	0	0.169528793824836	0	0.0329652373177921	0.04	0.181385045183615	1.02277461438515
ESCC001T5	0.0797060214929065	0	0.10734737024701	0.0326126520212631	0.0353306507517947	0.182396616131933	0	0.0348784244174534	0	0	0.00971665927235113	0.0289575785243465	0.0397643053309517	0	0.00475824942741693	0.0382293475570498	0.00651927803556249	0.0132596105131586	0	0.372998971274211	0	0.0135242650025911	0.04	0.191628186133398	1.04446750087772
ESCC002N	0.0896106055408206	0	0.03690401643483	0	0.0443744867550553	0.12450676431924	0	0	0	0	0	0.041832289474681	0	0	0.0040698756520611	0.295720448361898	0	0	0.219745397900625	0.0971140636004618	0	0.0461220519603265	0.04	0.191562660152891	1.01256809071471
ESCC002T1	0	0.0282778734869775	0.0972937368136175	0	0.0790946812449447	0.0807965641676079	0	0	0	0	0.0344922656548221	0	0	0.186906451846286	0.00173982131309507	0.0494273372235003	0.00690173384866054	0.0467775825525581	0	0.276759609337252	0	0.111532342510679	0.05	0.152763420238858	1.04665483859165
ESCC002T2	0	0.0405119683240639	0.0935159244334684	0.00161741106334249	0.0410790113735834	0.0685726166504079	0.0211951998173	0.00645749242634478	0	0	0.071090924424503	0	0	0.188329104277965	0.0145908070363837	0.119469228256596	0	0.0860664010639995	0	0.224851976870892	0	0.0226519339811493	0.03	0.201282195251103	1.01370597267914
ESCC002T3	0	0.0173129680534321	0.0445837565672149	0.0261899013431914	0.0891856550129125	0.0663939694698008	0.000311649266976754	0	0	0	0.0426424113237693	0	0	0.232434079599318	0.00190109524963622	0.125549445654653	0	0.0801413365360663	0	0.21337565614963	0	0.059978075773399	0.07	0.111779300692711	1.05754154601477
